Posso acquistare la vernice del colore del mio veicolo o conoscere il codice del colore?	Come posso trovare l'identificatore del colore della moto che ho acquistato da voi?
Quale è il carico massimo consentito per il mio veicolo?	Quanto peso posso trasportare sulla mia moto se dovessi aggiungere dei bagagli?
Come posso contattare il servizio clienti Yamaha?	Vorrei sapere a quali numeri telefonici è possibile chiamarvi per risolvere alcuni problemi.
Per gli interventi in garanzia devo riportare il mio veicolo Yamaha dallo stesso concessionario presso il quale l'ho acquistato?	Nel caso dovessi avvalermi della garanzia sul veicolo, in quale concessionaria dovrei recarmi?
Non riesco a reperire un ricambio per la mia vecchia Yamaha. Cosa posso fare?	Devo sostituire un pezzo della mia moto ma non riesco a recuperarlo, come posso procedere?
Come posso avere chiavi di riserva o duplicati per la mia Yamaha?	A chi devo rivolgermi per fare una copia della chiave della mia moto?
Cosa devo fare prima di effettuare il rimessaggio della mia Yamaha?	Ci sono delle operazioni che devo effettuare prima di lasciare la mia moto ferma per molto tempo?
Gli interventi di manutenzione ordinaria sono coperti dalla garanzia?	Il servizio di garanzia offerto da Yamaha copre anche gli interventi usuali di manutenzione?
Come devo comunicarvi il cambio di indirizzo?	Chi devo contattare per notificare il mio cambio di domicilio?
Dove sono punzonate le matricole del telaio e del motore?	Come posso trovare il numero di telaio e il codice identificativo del motore della mia Yamaha?
Quando e dove devo fare la revisione del mio veicolo?	Vorrei avere maggiori informazioni sulle scadenze della manutenzione e della revisione del mio veicolo.
