Cos'è un ereader?	In che cosa consiste un ereader?
Come effettuo la registrazione su un ereader tolino?	Come posso registrarmi su un ereader tolino?
Perchè devo registrare il mio tolino?	Per quale motivo è necessaria la registrazione del mio tolino
Posso usare il mio tolino anche senza effettuare la registrazione?	Il mio tolino pulò funzionare senza registrazione?
Cosa posso fare se non ho un account LaFeltrinelli Internet Bookshop SRL?	Come posso comportarmi nel caso in cui non avessi un accuout LaFeltrinelli Internet Bookshop SRL?
Una volta acquistati, come posso scaricare gli ebook?	Come posso ottenere gli ebook una volta acquistati?
Posso acquistare e scaricare i miei ebook direttamente sul lettore mentre mi trovo all'estero?	Nel caso in cui mi trovi all’estero, è possibile acquistare e scaricare gli ebook diretrtamente sul lettore?
Che cos'è il cloud tolino?	In che cosa consiste il cloud tolino?
Dove vengono salvati i miei acquisti?	Dove posso trovare gli acquisti effettuati?
Gli acquisti effettuati su LaFeltrinelli Internet Bookshop SRL saranno a mia disposizione immediatamente anche nel mio tolino?	Vi è disponibilità immediata sul mio tolino degli acquisti effettuati su LaFeltrinelli Internet Bookshop SRL?
Posso leggere sul mio tolino anche i vecchi acquisti?	I miei vecchi acquisti sono disponibili sul mio tolino?
Posso leggere sul tolino i miei acquisti, effettuati altrove, di ebook protetti da Adobe DRM?	Gli ebook protetti da Adobe DRM acquistati altrove possono essere letti sul mio tolino?
Come posso trasferire sul mio tolino gli ebook non acquistati su LaFeltrinelli Internet Bookshop SRL?	In che modo è possible trasferire ebook non procurati su LaFeltrinelli Internet Bookshop SRL?
È necessario creare un Adobe ID?	Un Adobe ID è necessario per poter usufruire del servizio?
Come si crea un Adobe ID?	In che modo posso otenere un Adobe ID
