È possibile utilizzare un portatile a bordo?    I clienti sono autorizzati a utilizzare iseguenti dispositivi elettronici portatili (di peso inferiore a 1 kg) per tuttala durata del loro volo una volta che sono passati a modalità di volo.
È possibile portare cibo a bordo?   È consentito portare cibo a bordo ma, per motivi di sicurezza, è vietato portare con sé bevande calde.
Come posso registrarmi? Effettuando il pagamento sul sito web e sull'app, verrà creato automaticamente un account per il cliente, in cui verrà richiesto di inserire un indirizzo e-mail e una password al fine di iscriversi a “My Ryanair” e completare la prenotazione. Si potrà entrare a far parte di “My Ryanair” in qualsiasi momento, semplicemente iscrivendosi sulla home page e inserendo i propri dati. Tale operazione richiede meno di 30 secondi.
Di quali informazioni ho bisogno per l'iscrizione?  Bastano un indirizzo e-mail e una password. È possibile creare il proprio profilo personale, conservare in tutta sicurezza i dettagli di pagamenti e passaporto e impostare le preferenze di viaggio, creando un'esperienza personalizzata su Ryanair.com e sull'app.
È necessario iscriversi per ottenere un account?    No. È sempre possibile effettuare ricerche e navigare sul sito web Ryanair.com senza disporre di un account, ma non sarà possibile effettuare la prenotazione direttamente sul sito o sull'app a meno che non ci si sia registrati a “My Ryanair”.
Quali sono i vantaggi di un account My Ryanair? È possibile effettuare prenotazioni in maniera più semplice e veloce e usufruire di altri servizi, aumentando allo stesso tempo la sicurezza online. Inoltre, renderà più difficile ai siti di “screen scraping” la vendita fraudolenta delle tariffe convenienti di Ryanair a costi gonfiati. I membri di “My Ryanair” riceveranno inoltre offerte speciali e l'accesso esclusivo anticipato alle vendite flash.
Posso effettuare una prenotazione se non voglio iscrivermi? Sarà possibile cercare dei voli, ma non sarà possibile effettuare una prenotazione sul sito web o sull'app, a meno che non ci si sia registrati a “My Ryanair”.
I miei dati sono al sicuro? Sì, utilizziamo software di crittografia con i più alti livelli di sicurezza.
I miei dati verranno condivisi con qualcun altro?   No. I tuoi dati verranno conservati al sicuro così da permetterti di effettuare prenotazioni più veloci e non verranno condivisi con nessun altro.
Dovrò effettuare l'accesso ogni volta che prenoto un volo?  No, accadrà solo se uscirai dal sito. Accedi semplicemente una sola volta e ti riconosceremo tutte le volte che tornerai sul sito o sull'app.
Come viene inviato il voucher regalo?   Il voucher regalo sarà inviato via e-mail all’indirizzo che hai fornito, quindi puoi inviarlo a te stesso o al fortunato destinatario.
Potete inviare un documento di conferma della cancellazione del volo per l'assicurazione?   Inviamo automaticamente, all'indirizzo email fornito al momento della prenotazione, una lettera di assicurazione in formato PDF che conferma la cancellazione del volo.
Potete inviare un documento di conferma del ritardo del volo di più di 3 ore per l'assicurazione?   Inviamo automaticamente, all'indirizzo email fornito al momento della prenotazione, una lettera per l'assicurazione in formato PDF che conferma il ritardo del volo di più di 3 ore.
È possibile arricchire la polizza includendo una condizione medica precedente?  No, purtroppo non siamo in grado di aggiungere coperture addizionali a condizioni mediche pregresse.
Cosa faccio se ho bisogno di assistenza medica in caso di emergenza mentre sono in viaggio? Se hai bisogno di una visita medica, di un ricovero o di rientrare a casa per un'emergenza, Il Team di Assistenza per le Emergenze, operativo 24 ore al giorno per 365 giorni all'anno, ti assisterà consigliandoti e trovandoti una sistemazione.
Quando inizia e quando finisce la mia copertura assicurativa?   La tua polizza assicurativa ti offre una copertura coerente con i tempi del tuo viaggio. L'assicurazione ha effetto e inizia a coprire i costi di cancellazione nel momento in cui acquisti volo e polizza.
Come posso utilizzare il mio Credito di Volo?   Puoi utilizzare il Credito di Volo solo per il costo completo o parziale della tariffa standard di una prenotazione di voli internazionali Ryanair effettuata sul sito web di Ryanair.
Chi posso contattare riguardo la mia prenotazione Rooms Direct? Rooms non é responsabile del pagamento riguardante l’hotel né fornisce supporto in relazione alle richieste di prenotazione. La prenotazione viene effettuata direttamente con la strutura alberghiera. Qualsiasi domanda tu possa avere deve essere indirizzata alla suddetta struttura. È possibile trovare i contatti dell’hotel nella email di conferma della prenotazione.
Posso cambiare le date della prenotazione?  Il modo più semplice è cancellare la prenotazione e crearne una nuova. Altrimenti potresti contattare direttamente l'hotel per richiedere una modifica della tua prenotazione.
Come posso ottenere informazioni sulla camera o sui servizi della struttura?    È possibile trovare informazioni sulla camera camera e sull’ hotel sul sito Web e nell'email di conferma dell'hotel.
Ho subìto un ritardo e devo effettuare il check-in al di fuori dell’orario prestabilito, cosa devo fare?    È necessario contattare direttamente l'hotel e informare la reception del tuo arrivo in ritardo. Questo permetterà di mantenere la stanza fino al tuo arrivo. Troverai le informazioni riguardo i contatti nella tua email di conferma.
Ci sono costi aggiuntivi per i bambini? Se non diversamente specificato nella prenotazione, i costi aggiuntivi per i bambini non sono inclusi nelle tariffe di prenotazione addebitate dall'hotel. Se hai bisogno di un letto aggiuntivo o di una culla, sarà necessario contattare direttamente l'hotel. Assicurati di aver scelto la tipologia di camera desiderata per la tua famiglia per non incorrere in eventuali costi aggiuntivi in hotel.
Quali sono gli orari di check-in e di check-out della mia prenotazione alberghiera? Li troverai nella sezione Condizioni dell'hotel nella parte inferiore della pagina dell’albergo su rooms e anche nella tua email di conferma. È necessario contattare l'hotel se si sta per arrivare o partire al di fuori di questi orari stabiliti.
Che cos'è una cancellazione 'non rimborsabile' o 'cancellazione gratuita'?  Una cancellazione non rimborsabile significa che verrà aggiunta una penale se si decide di annullare o apportare modifiche alla prenotazione. 'Cancellazione gratuita' significa che è possibile annullare la prenotazione senza penalità fino a un periodo definito prima dell'arrivo. Una volta che il periodo é scaduto potrebbe essere addebitato un costo di cancellazione tardiva. Le informazioni del regolamento sono contenute nell'email di conferma. Se hai domande a riguardo, ti preghiamo di contattare direttamente l'hotel.
Posso cancellare la mia prenotazione?   Si, nei termini del regolamento di cancellazione della prenotazione, come stabilito dalla struttura alberghiera, le cui informazioni sono contenute nell'email di conferma nella sezione del regolamento sulla cancellazione. Tutti i pagamenti vengono effettuati direttamente all'hotel e non a Rooms.
Mi verrà addebitato il pagamento se annullo la prenotazione?    Se la tua prenotazione rientra nella categoria “cancellazione gratuita”, non pagherai alcun costo entro la data stabilita dall’hotel. Se la tua prenotazione è all'interno della finestra di cancellazione o non è rimborsabile, dovrai sostenere le tariffe stabilite dal regolamento dell'hotel. Ti preghiamo di contattare direttamente la struttura alberghiera in caso di eventuali domande.
Posso annullare o cambiare le date di una prenotazione “non rimborsabile”?  È possibile disdire la prenotazione, ma verrà addebitata una penale sulla stessa. Ti sugeriamo di contattare l'hotel direttamente in caso di eventuali domande.
