Sono diretto in un Paese della Comunità Europea. Che documento devo portare?	Basta la carta d’identità. Controlla che non sia scaduta e che sia valida per l’espatrio.
Che documenti necessita mio figlio minorenne per viaggiare?	Dal 26 giugno 2012 tutti i minori dovranno viaggiare con un documento di viaggio individuale. Per maggiori informazioni è consigliato contattare la compagnia aerea, l’ufficio anagrafe e/o la questura o consultare il sito www.viaggiaresicuri.it
Parto per un Paese che non appartiene alla Comunità Europea. Basta la carta d’identità?	È necessario presentare il passaporto in corso di validità e per alcuni Paesi ci vuole anche il visto. Verifica la data di scadenza del tuo passaporto e accertati che il Paese in cui ti rechi non richieda il visto d’ingresso. A titolo precauzionale ti consigliamo di annotare numero, data e luogo di emissione: questi dati potranno essere utili in caso di smarrimento e furto. Per informazioni aggiornate visita il sito www.viaggiaresicuri.it
Per andare in Gran Bretagna o in Svizzera è obbligatorio il passaporto?	No, è sufficiente la carta d’identità.
Parto per gli Stati Uniti d’America. Che cos’è il programma Visa Waiver Program?	Il programma Visa Waiver (viaggio senza visto) consente ai cittadini di alcuni Paesi di visitare gli Stati Uniti per non più di 90 giorni senza dover ottenere un visto prima del viaggio. I Paesi attualmente aderenti al programma Visa Waiver sono: Andorra, Australia, Austria, Belgio, Brunei, Danimarca, Estonia, Finlandia, Francia, Germania, Grecia, Islanda, Irlanda, Italia, Giappone, Lettonia, Liechtenstein, Lituania, Lussemburgo, Malta, Monaco, Olanda, Nuova Zelanda, Norvegia, Portogallo, Repubblica Ceca, San Marino, Singapore, Slovacchia, Slovenia, Spagna, Svezia, Svizzera, Taiwan, Regno Unito, Ungheria. I cittadini di questi Paesi sono tenuti a esibire un passaporto a lettura ottica per poter beneficiare del regime di esenzione dal visto. Tutti i Paesi aderenti al programma sono attualmente in grado di emettere passaporti a lettura ottica.
Parto per gli Stati Uniti d’America. Quali documenti sono necessari per la partenza?	Se appartieni a uno dei Paesi che aderiscono al Visa Waiver Program (come l’Italia) è necessario un passaporto a lettura ottica in corso di validità. Inoltre, per recarsi negli Stati Uniti nell’ambito del programma Visa Waiver, a partire dal 12 gennaio 2009 è obbligatorio compilare on-line il modulo per l'autorizzazione di viaggio elettronica (ESTA). La registrazione ESTA (Electronic System for Travel Authorization) ha un costo di 14 $, è valida per due anni dalla data di emissione, o fino alla scadenza del passaporto e può essere compilata sul sito: esta.cbp.dhs.gov/esta/. È necessario ottenere l'autorizzazione prima di salire a bordo dell’aereo. Il visto è necessario per coloro che intendono visitare gli Stati Uniti per più di 90 giorni.
Mi sono accorto che la mia carta d'identità è scaduta. Dove posso rinnovarla?	I passeggeri in possesso di un titolo di viaggio potranno ottenere in poco tempo la carta d'identità al Terminal 1 dell’aeroporto di Malpensa (al piano arrivi, tra la porta 1 e 2) presso lo sportello Anagrafe aeroportuale.
Quanti e quali liquidi è consentito trasportare nel bagaglio a mano?	Nel bagaglio a mano sono consentiti liquidi in piccola quantità che devono essere presentati ai controlli di sicurezza. Devono essere contenuti in recipienti aventi ciascuno la capacità massima di 100 millilitri o equivalenti (es: 100 grammi), inseriti in un sacchetto di plastica trasparente e richiudibile, di capacità non superiore a un litro (ovvero con dimensioni pari ad esempio a circa cm 18 x 20). Per ogni passeggero sarà permesso il trasporto di un solo sacchetto di plastica. Possono essere trasportati al di fuori del sacchetto, e non sono soggetti a limitazione di volume, le medicine e i liquidi pescritti a fini dietetici, come gli alimenti per bambini.
Parto con un volo nazionale. Quante valigie posso portare? Di che peso?	Non c'è una regola unica: le disposizioni sono soggette a frequenti variazioni che dipendono dalla compagnia aerea e da normative internazionali IATA (International Air Transport Association). Conviene pertanto contattare la compagnia aerea o l'agenzia di viaggio.
Quali sono gli oggetti non consentiti nel bagaglio a mano? 	Non puoi inserire nel bagaglio a mano tutti gli oggetti ritenuti pericolosi per la sicurezza del volo quali: armi giocattolo, fionde, posate, coltelli, lame da rasoio, attrezzi da lavoro, freccette, forbici, siringhe, aghi da cucito, bastoni per uso sportivo e oggetti affini, liquidi nelle quantità non consentite.
Quali sono gli oggetti non consentiti nel bagaglio da stiva?	Gas compressi (infiammabili, non infiammabili, raffreddati, velenosi quali il butano, ossigeno, propano ed ossigeno per autorespiratori); prodotti corrosivi; esplosivi (per es. fuochi di artificio, razzi, munizioni, proiettili di pistola); termometri a mercurio; sostanze che a contatto con l'acqua emettono gas infiammabili; sostanze infettive (per es. batteri e virus vivi); sostanze velenose (insetticidi, erbicidi, arsenico e cianuro), fiammiferi, accendini, congegni di allarme, materiale magnetizzante.
Ho l’hobby della caccia. A quali disposizioni devo attenermi per portare a bordo armi e munizioni?	Devi presentarti al check-in dove ti sarà consegnato, insieme alla carta di imbarco, un modulo da compilare. Dovrai poi recarti all'ufficio di Polizia per i controlli delle armi e dei relativi documenti. Con l'autorizzazione della Polizia ritorna al check-in per le procedure di imbarco.
Posso portare a bordo il personal computer?	Sì, ma ricordati di inserire batterie funzionanti poiché gli addetti al servizio sicurezza potrebbero chiederti di accenderlo per eventuali controlli.
Mi imbarco per una destinazione internazionale. Quante valigie posso portare? Di che peso?	Le disposizioni in merito dipendono dalla compagnia aerea e da normative internazionali IATA (International Air Transport Association). Ti consigliamo pertanto di contattare la compagnia aerea con la quale viaggi per avere informazioni specifiche.
Posso portare con me a bordo i miei medicinali? Necessito di un certificato medico?	Sì, è possibile il trasporto dei medicinali nel bagaglio a mano nel rispetto delle normative sul trasporto dei liquidi. Trovi l’elenco completo degli articoli proibiti nel regolamento UE n. 185/2010.
Sono diabetico e temo che le mie siringhe non siano autorizzate nel bagaglio a mano. Cosa devo fare?	Se sei diabetico e hai necessità di portare a bordo siringhe, ti consigliamo di comunicarlo al momento della prenotazione del biglietto aereo. Non dimenticare di portare con te un certificato medico da esibire al check-in e al controllo di sicurezza. Poiché alcune compagnie aeree potrebbero richiedere ulteriori procedure, ti consigliamo di contattare prima della partenza il vettore con cui effettuerai il volo.
Sono cardiopatico e indosso lo stimolatore cardiaco. Posso passare attraverso il metal detector?	Se porti una protesi metallica o uno stimolatore cardiaco e preferisci non attraversare il metal detector per timore di alterarli, avvisa gli addetti alla sicurezza che procederanno al controllo manuale. Ricordati di portare con te un certificato medico.
