Sono diretto in un Paese della Comunità Europea. Che documento devo portare?	Quale documento mi serve per viaggiare nei paesi della comunità europea?
Che documenti necessita mio figlio minorenne per viaggiare?	Quali documenti sono necessari per viaggiare con un minore?	Quali documenti servono se ho un figlio minore di 18 anni?
Parto per un Paese che non appartiene alla Comunità Europea. Basta la carta d'identità ?	Servono ulteriori documenti per viaggiare in paesi non UE?	Serve il passaporto per andare in paesi non appartenenti all'UE?
Per andare in Gran Bretagna o in Svizzera è obbligatorio il passaporto?	Serve il passaporto per andare nel regno unito o in svizzera?
Parto per gli Stati Uniti d'America. Che cos'è il programma Visa Waiver Program?	Cos'è il programma visa waiver? Cosa devo sapere di questo programma se parto per l'america?
Parto per gli Stati Uniti d'America. Quali documenti sono necessari per la partenza?	Quali documenti devo portare per viaggiare verso gli USA?
Mi sono accorto che la mia carta d'identità è scaduta. Dove posso rinnovarla?	Dove posso rinnovare la carta d'identità scaduta?
Quanti e quali liquidi è consentito trasportare nel bagaglio a mano?	Qual'è il volume massimo di liquidi che posso mettere nel bagaglio a mano? Quali liquidi posso portare?
Parto con un volo nazionale. Quante valigie posso portare? Di che peso?	Quante valigie posso imbarcare se parto con un volo nazionale? qual'è il peso massimo consentito per i bagagli?
Quali sono gli oggetti non consentiti nel bagaglio a mano? 	Cosa non posso portare nel bagaglio a mano?	Devo evitare di mettere alcuni oggetti nel bagaglio a mano?
Quali sono gli oggetti non consentiti nel bagaglio da stiva?	Cosa non posso portare nel bagaglio da stiva?	Devo evitare di mettere alcuni oggetti nel bagaglio da stiva?
Ho l'hobby della caccia. A quali disposizioni devo attenermi per portare a bordo armi e munizioni?	Con quali regole o limiti posso imbarcare il mio fucile e l'attrezzatura da caccia?
Posso portare a bordo il personal computer?	È consentito usare il laptop a bordo?
Mi imbarco per una destinazione internazionale. Quante valigie posso portare? Di che peso?	Qual'è il numero di bagagli consentito per un volo internazionale? E quale peso massimo? 
Posso portare con me a bordo i miei medicinali? Necessito di un certificato medico?	Per portare a bordo i medicinali mi serve un certificato medico?
Sono diabetico e temo che le mie siringhe non siano autorizzate nel bagaglio a mano. Cosa devo fare?	Dove posso informarmi per sapere cosa fare con le mie iniezioni di insulina?
Sono cardiopatico e indosso lo stimolatore cardiaco. Posso passare attraverso il metal detector?	Il metal detector è in grado di rilevare lo stimolatore cardiaco che porto?
