Che cos’è un coupon?	Cos'è un coupon?
Come ottengo un coupon?	Come si ottiene un coupon?
Devo essere un utente eBay per utilizzare il coupon?	Solo gli utenti eBay possono utilizzare coupon?
Devo avere un conto PayPal per utilizzare il coupon?	Bisona avere PayPal per utilizzare il coupon?
Quali metodi di pagamento ho a disposizione per utilizzare un coupon?	Come posso pagare per utilizzare un coupon?
Posso utilizzare più di un coupon alla volta?	osso utilizzare un coupon per volta?
Posso utilizzare un coupon in qualunque sito eBay o per oggetti in valute diverse?	Posso usare il cuoupon in un sito eBay di una nazione diversa?
Chi posso contattare in caso di problemi?	Qual'è il punto di contatto in caso di problemi?
C’è un termine per l’utilizzo del coupon?	I coupon hanno una data di scadenza?
Posso cedere un coupon o utilizzare quello di qualcun altro?	I coupon sono cedibili?
Come si utilizza il coupon?	Come utilizzo il coupon?
Il venditore accetta PayPal come metodo di pagamento.   
Che cosa faccio se l’indirizzo email associato al mio coupon è diverso da quello che uso per il conto PayPal?	Cosa devo fare se PayPal e il mio account hanno diverso indirizzo email?
Posso utilizzare il coupon per acquistare qualsiasi oggetto?	I coupon possono essere utilizzati su qualsiasi acquisto?
Come utilizzo il codice indicato sul coupon?	Come si utilizza il coupon?
Come pago la differenza tra il valore del coupon e il prezzo dell’oggetto?	Come posso pagare la differenza tra il coupon e il valore dell'acquisto?
I coupon hanno una scadenza?	I coupon scadono?
Che cosa succede se pago utilizzando un coupon e poi il pagamento viene stornato?	Cosa succede al mio coupon se il pagamento viane stornato?
Posso utilizzare un coupon insieme a un buono regalo per comprare un oggetto su eBay?	Coupon e Buoni Regalo sono cumulabili? 
Che cosa si intende con “acquisto singolo” tra i requisiti per l’utilizzo di un coupon?	Cosa comporta il requisito 'acquisto singolo' sui coupon?
Che cosa devo fare se sto acquistando presso un venditore che accetta PayPal ma non vedo un campo dove inserire il mio codice coupon?	Cosa posso fare se non trovo il campo per inserire il codice coupon presso un vendidtore?
Quali sono i vantaggi per il venditore?	Che vantaggi ha il venditore accettando coupon?
Che cosa devo fare per accettare un coupon?	Cosa posso fare per accettare coupon?
Sapró se un acquirente ha utilizzato un coupon per il pagamento?	Come posso sapere se gli acquirenti uttilizzano coupon?
Se un acquirente utilizza un coupon, l’ammontare del pagamento cambierà?	Se viene utilizzato un coupon, il pagamento nei miei confronti cambierà?
Che cosa succede se l’acquirente mi restituisce l’oggetto e io lo rimborso?	Che cosa succede se l'acquirente chiede un rimborso e ha pagato con un coupon?
