Perchè devo verificare il mio numero di telefono?	Perchè Subito continua a chiedermi il numero di telefono?
Mi è arrivato un link tramite email, che cosa devo fare?	Ho ricevuto un link da subito nella mia casella di posta elettronica, come devo comportarmi?
Dopo che ho compilato il modulo cosa faccio?	Quali sono i passi successivi alla compilazione del modulo su Subito?
Vuoi un suggerimento per evitare che il tuo annuncio venga rifiutato?	Desideri ricevere via email una lista di suggerimenti per migliorare il tuo annuncio?
Come cambiano le regole in attrezzature di lavoro?	Quali sono le principali differenze nella gestione della categoria attrezzature da lavoro?
Quali sono i prodotti che vanno in categoria attrezzature di lavori?	Esiste una lista dettaglia degli articoli che possono essere inseriti in attrezzature da lavoro?
Cosa succdede se ho un annuncio online in una categoria attrezzature di lavoro?	Devo preoccuparmi se ho delle inserzioni attive in attrezzature da lavoro?
Posso continuare a inserire in categoria attrezzature di lavoro?	È ancora consensito aggiungere inserzioni riguardo le attrezzature da lavoro?
Cosa devo dare se sono un cliente subito impresa in attrezzature di lavoro?	Nel caso fossi un cliente subito per le imprese, quali dati dovrei fornire?
Come posso essere certo che il mio annuncio venga pubblicato?	Vorrei essere sicuro che una volta preparata la mia inserzione questa venga pubblicata subito, come posso fare?
Non mi è arrivata la mail di conferma, come faccio?	Potreste inviarmi di nuovo la email di conferma della registrazione?
In che posizione si trova il mio annuncio?	Come faccio a sapere la visibilità del mio annuncio nella ricerca?
Vuoi un suggerimento per evitare che il tuo annuncio venga rifiutato?	Possiamo inviarti dei consigli per fare si che la tua pubblicazione non venga rifiutata, li vuoi?
Una volta modificato l'annuncio cosa succede?	Cosa succede se modifico un annuncio dal mio profilo Subito?
Cosa succede dopo aver salvato una ricerca?	Cosa succede se tento di salvare una ricerca, sarò in grado di poterla visualizzare più avanti?
Come proteggo i miei dati personali?	Vorrei sapere come posso fare per evitare che i maleintenzionati si approprino dei miei dai sensibili.
