Dove trovo il mio contratto di compravendita di veicolo a motore (MVPA, Motor Vehicle Purchase Agreement)?  I tuoi documenti sono visibili nel tuo account Tesla. Accedi al tuo account Teslae seleziona ‘Manage’. A destra della pagina c'è la sezione 'Documents' che contiene il contratto di compravendita del veicolo a motore. Tutti i documenti definitivi, compreso il contratto firmato, saranno disponibili sull'account Tesla subito dopo la consegna del veicolo.
Dove trovo il numero di telaio della mia Tesla? Puoi trovare il numero di telaio del tuo veicolo accedendo all'account Tesla o all'app Tesla e selezionando il tuo veicolo o toccando il logo “T” di Tesla sul touchscreen dei veicolo.
Come faccio ad aggiungere un altro contatto al mio account? Se si vuole aggiungere un contatto secondario all'account del veicolo, basta accedere all'account Tesla e fare clic su 'Account' nell'angolo in alto a destra. Quindi selezionare 'Dati personali' e fare clic su 'Contatti'. A questo punto è possibile aggiungere un altro contatto.
Quando sarà autorizzato l'accesso?  I proprietari saranno in grado di accedere all'app Tesla entro 48 ore dalla consegna del veicolo. Si riceverà un'email o un SMS di notifica non appena sarà autorizzato l'accesso all'app.
Come autorizzo l'accesso all'app alla mia famiglia? Se vuoi consentire l'accesso all'app Tesla a un familiare, è necessario inviare un'approvazione scritta. Tutte le istruzioni sono disponibili sulla pagina Assistenza app Tesla.
Come faccio a usare l'app Tesla?    L'app Tesla per iPhone o Android consente di monitorare e comandare il veicolo o il Powerwall Tesla da remoto, usando il telefono. Dopo aver scaricato e installato l'applicazione, usa l'indirizzo email e la password del tuo account Tesla per collegarti al tuo veicolo o al tuo Powerwall. Per saperne di più sull'app, guarda il video informativo: Tesla Mobile App Walkthrough. Per ulteriori dettagli, rivedi la sezione relativa all'app per dispositivi mobili nel Manuale d'uso e manutenzione.
Perché non riesco ad accedere all'app Tesla dopo la consegna?   L'autorizzazione di accesso all'app potrebbe richiedere fino a 48 ore dopo la consegna del veicolo. Se vuoi sapere di più su come funziona l'app, visita la pagina Assistenza app Tesla. In attesa di ricevere l'accesso all'app Tesla, puoi usare la chiave (Model S e Model X) o la chiave magnetica (Model 3) per comandare la tua Tesla.
Come scopro di più sulla Model 3?   Visita la nostra pagina di assistenza dedicata a Model 3 per scoprire di più su questo modello.
Come configuro il mio profilo conducente?   Il tuo veicolo ti chiederà di creare e salvare un profilo conducente non appena regoli il sedile del conducente, il volante o il retrovisore. Per accedere o creare il profilo del conducente in un secondo momento.
Come si programma l'opzione Homelink?   Per programmare HomeLink per la tua Model S o Model X, tocca l'icona HomeLink nella parte superiore del touchscreen e segui le istruzioni dettagliate. Dovrai avere con te il telecomando e parcheggiare di fronte al garage o al cancello che desideri programmare.
Come posso abbinare il mio telefono tramite Bluetooth?  Segui queste istruzioni per abbinare il telefono alla tua Tesla: assicurati che il touchscreen e il telefono siano accesi. Sulla barra di stato di touchscreen, tocca l'icona Bluetooth, sul telefono, attiva il Bluetooth e impostalo su individuabile, sul touchscreen dell'auto, tocca Avvia ricerca.
Come passo da una schermata all'altra sul pannello strumenti di Model S e Model X?  Tieni premuta una rotellina fino alla visualizzazione delle opzioni sullo stesso lato del quadro strumenti corrispondente alla rotellina. Gira la rotellina per scorrere fino all'opzione desiderata, quindi premi la rotellina per selezionarla.
