Cos'è Workplace di Facebook?	Di cosa tratta il servizio Workplace di Facebook?
Quali sono le funzioni disponibili su Workplace che possono sostituire alcuni degli strumenti di lavoro esistenti della mia azienda?	In che modo il servizio offerto da Workplace può modificare alcuni strumenti di lavoro già in utilizzo nella mia azienda?
Quante aziende usano Workplace?	Qual è il quantitativo di aziende che usa Workplace?
Vorrei provare Workplace.	Mi piacerebbe provare Workplace.
È necessario creare un account Facebook personale per usare Workplace?	Per usufruire di Workplace serve un account Facebook?
Quali sono i costi?	A quanto ammontano I costi?
Perché la mia azienda dovrebbe pagare per Workplace Advanced e Workplace Enterprise se alcune delle funzioni sono disponibili su Facebook e Workplace Essential?	Per quale motivo la mia azienda pagherebbe per avere un servizio da Workplace Advanced e Workplace Enterprise se comunque molte funzionalità sono già presenti su Facebook e Workplace Essential?
Qual è la differenza tra i piani gratuiti e a pagamento?	In che cosa differiscono piani gratuiti e a pagamento?
Il mio datore di lavoro può vedere il mio account Facebook personale?	Il mio account Facebook personale è visibile dal mio datore di lavoro?
Chi possiede le informazioni create dai dipendenti?	Da chi sono posseduti I dati inseriti dai dipendenti?
Cosa succede quando un dipendente non lavora più nell'azienda?	Una volta terminato il periodo di lavoro di un dipendente, cosa succederà?
Come faccio a eliminare il mio account?	In che modo posso procedere per la rimozione del mio profilo?
Perché Workplace passerà da due a tre piani per i prodotti?	Quali sono le motivazioni per cui verrà aggiunto un piano per I prodotti?
Cos'è Workplace Essential?	In cosa consiste Workplace Essential?
Cos'è Workplace Advanced?	In cosa consiste Workplace Advanced?
Cos'è Workplace Enterprise?	In cosa consiste Workplace Enterprise?
Cos'è la funzione per il lavoro frontline di Workplace?	In cosa consiste la modalià frontline di Workplace?
Qual è la definizione di dipendente frontline?	Cos’è un dipendente frontline?
Posso iscrivermi solo alla funzione per il lavoro frontline?	è possibile iscriversi unicamente per la funzione di lavoro frontline?
Quanto costa la funzione per il lavoro frontline?	Qual è il costo per la funzione di lavoro frontline?
Come faccio ad aggiungere un dipendente frontline a Workplace?	In che modo è possibile aggiungere un dipendente frontline a Workplace?
Quando saranno disponibili i nuovi piani?	In che tempistichesatanno disponibili I nuovi piani
Dove posso usare i nuovi piani?	I nuovi piani dove possono essere utilizzati?
Cosa significa per utente al mese?	Cosa si intende per utente al mese?
In che modo è possibile prevedere il costo di Workplace in base al prezzo per utente al mese?	Come posso preventivare il costo di Workplace conoscendo il presso utente al mese?
Ho effettuato l'iscrizione a Workplace Premium. Il costo totale di Workplace aumenterà?	Il costo di workplace verrà maggiorato iscrivendosi a Workplace premium?
Sono un cliente attuale di Workplace Standard. Quali sono le conseguenze per me?	Essendo io un cliente Workplace Standard, quali potrebbero essere le possibili conseguenze per me?
Sono un cliente attuale di Workplace Premium. Quali sono le conseguenze per me?	Essendo io un cliente Workplace Premium, quali potrebbero essere le possibili conseguenze per me?
Ho acquistato Workplace tramite un rivenditore partner. Quali sono le conseguenze per me?	Nel caso in cui io abbia acquistato Workplace da un rivenditore partner, quali potrebbero essere le conseguenze?
Quali saranno le conseguenze di questo cambiamento per i clienti di Workplace nelle Filippine, in Indonesia, in Nuova Zelanda, a Singapore e a Hong Kong?	Che potenziali effetti possono arrecare queste modifiche per i clienti di Workplace nelle Filippine, in Indonesia, in Nuova Zelanda, a Singapore e a Hong Kong?
La mia organizzazione usa attualmente Workplace Premium. A quale piano migreremo?	Se si usa attualmente Workplace premium, a quale piano verremo spostati?
Come posso disattivare le persone non attive dal mio account Workplace Advanced o Enterprise?	Le persone che non hanno un account attivo come possono essere di disattivate?
Posso annullare il mio piano Workplace Premium?	è possibile annullare il piano Workplace Premium?
Una volta passata a un piano diverso, la mia organizzazione perderà i dati presenti su Workplace?	I dati presenti su workplace saranno disponibili anche dopo un cambio piano?
Sono presenti inserzioni su Workplace?	C’è pubblicità su Workplace?
La mia organizzazione è soggetta ai requisiti di elaborazione dei dati dell'Unione europea. Posso usare Workplace?	è possibile usare Workplace anche se soggetti a requisiti di elaborazione dei dati dell’Unione eurpoea?
Esiste il rischio che qualcuno condivida contenuti dal suo account Facebook personale su Workplace?	é possibile condividere contenuti da un’account Facebook personale su Workplace?
Chi possiede e controlla le informazioni create dai dipendenti della mia organizzazione?	Chi ha il monopolio delle informazioni inserite dai dipendenti della mia organizzazione?
È necessario creare un account Facebook personale per usare Workplace?	Per usufruire di Workplace serve un account Facebook?
Dove si trovano i vostri data center?	Qual è l’ubicazione dei vostri data center?
In che modo Workplace protegge le mie informazioni?	Come le mie informazioni vengono protette da Workplace?
Avete una sicurezza di livello enterprise?	é garantita una sicurezza di livello enterprise?
Come risponde Workplace alle richieste di informazioni e dati sulla mia organizzazione o sui miei dipendenti da parte del governo o delle forze dell'ordine?	In che modo vengono gestite le mie informazioni in caso di richiesta da parte del governo o delle forze dell’ordine
Avete una certificazione SOC?	Siete in possesso di una certificazione SOC?
Che tipo di assistenza offre Workplace?	In che modo Workplace assiste I clienti?
