Cosa succede dopo la registrazione?	Ho fatto la registrazione. E ora?
Posso aggiornare in un secondo momento i dati forniti al momento della registrazione?	Si puo' cambiare i dati?
Che tipo di foto devo caricare?	Va bene un immagine qualsiasi?
Quando sarà online la mia struttura?	Non vedo il mio albergo sul sito. Quando sara' online?
Cosa ottengo in cambio della commissione che pago?	Che servizio di preciso mi offre il sito?
Devo confermare ogni prenotazione?	Se non confermo una prenotazione?
Cosa succede in caso di cancellazione da parte dell'ospite?	Come si prosegue con la disdetta?
Gli ospiti come possono pagare le prenotazioni?	Come si paga una prenotazione?
Cosa succede se un cliente non si presenta al check-in?	Come si prosegue col no-show?
Cosa succede se un ospite arreca dei danni alla struttura?	Gli ospiti hanno rovinato la camera. Cosa si puo' fare?
