Come si naviga in questo sito?	Non è necessario aprire un account per navigare. Per cercare i libri desiderati è possibile utilizzare la barra di ricerca presente su tutte le pagine del sito oppure esplorare le diverse categorie. Per i libri scolastici inoltre è possibile selezionare direttamente la classe frequentata e visualizzare immediatamente tutti i libri adottati: verrà anche indicato se il libro è da acquistare o solo consigliato, e se si tratta di un volume già in uso. L’accesso o la registrazione al sito verranno chiesti solo nel momento in cui si decide di inviare il proprio ordine.
Come faccio a registrarmi al sito?	È possibile effettuare la registrazione al sito in fase di conferma dell’ordine oppure in qualsiasi momento cliccando su “Registrati” nella barra in alto a destra. Inserire quindi i dati richiesti e cliccare sul pulsante in fondo alla pagina. Attenzione: dopo aver portato a termine la registrazione, occorre confermarla cliccando sul link riportato nella mail inviata all’indirizzo indicato in fase di registrazione. Consigliamo quindi di verificare all’interno della propria casella di posta elettronica, controllando anche la cartella “posta indesiderata”.
Non riesco ad effettuare l’accesso al sito	Eventuali difficoltà nell’effettuare l’accesso possono essere dovute a: 1. tentativo di accesso con credenziali utilizzate per la registrazione ad altri siti. Attenzione: le credenziali di accesso in uso sugli altri siti non sono qui valide. Se non hai mai effettuato un ordine su questo sito, è necessario effettuare qui una nuova registrazione. 2. inserimento di e-mail e/o password errati: occorre utilizzare l’esatto indirizzo e-mail e la password inserite nella prima registrazione al sito e riprovare ad effettuare l’accesso.
Ho dimenticato la password	La password dimenticata può essere facilmente reimpostata cliccando su “Accedi” e poi su “Hai dimenticato la password?” in basso a destra.
Vorrei modificare la password	La password può essere modificata accendendo alla sezione “Il mio profilo” in alto a destra. Cliccare quindi su “Modifica la tua password” e inserire l’indirizzo e-mail utilizzato in fase di registrazione. Verrà inviata un’e-mail con link per reimpostare la password.
Ho sbagliato a digitare la mail e/o il numero di cellulare in fase di registrazione al sito	Qualsiasi dato non corretto può essere modificato accendendo alla sezione “Il mio profilo” in alto a destra. Cliccare quindi su “Modifica i tuoi dati” per cambiare i dati anagrafici ed i contatti telefonici.
Come si effettua un ordine	È possibile navigare liberamente all’interno del sito e visualizzare tutti gli articoli di interesse. Ogni pagina con la scheda del prodotto contiene un pulsante per aggiungerlo al carrello degli acquisti. È possibile inserire nel carrello degli acquisti tutti i prodotti desiderati. Durante la tua visita è possibile verificare in ogni momento il contenuto del carrello facendo clic sull’icona apposita nella barra in alto a destra. Una volta trovati i libri da acquistare, dal carrello sarà possibile proseguire la navigazione e scegliere il punto vendita in cui effettuare il ritiro e il pagamento dei libri. Per inviare l’ordine è quindi necessario effettuare l’accesso o la registrazione al sito. L’ordine non viene inoltrato fino a quando non viene premuto il pulsante “Invia ordine”.
Come posso sapere se l’ordine è stato correttamente portato a termine?	Dopo aver concluso la procedura di prenotazione viene inviata un’e-mail all’indirizzo indicato in fase di registrazione al sito, dove vengono riepilogati i dati relativi alla prenotazione. In qualsiasi momento è inoltre possibile accedere alla sezione “I miei ordini” per visualizzare il dettaglio delle prenotazioni inviate e verificarne lo stato di avanzamento.
É possibile annullare uno o più testi prenotati?	É possibile annullare i testi prenotati, solo nel caso in cui siano ancora nello stato “da evadere”, ovvero prima che siano iniziate le procedure per la spedizione al punto vendita. Per farlo occorre entrare nella sezione “I miei ordini” nella barra in alto a destra, visualizzare l’ordine in cui è sono inseriti i testi da annullare e cliccare sul simbolo del cestino alla destra del testo che non si desidera più.
É possibile aggiungere uno o più testi ad un ordine già confermato?	Non è possibile aggiungere testi ad un ordine già confermato. Per prenotare ulteriori libri, occorre effettuare un nuovo ordine.
