Posso acquistare la vernice del colore del mio veicolo o conoscere il codice del colore?    Yamaha non commercializza le vernici e non fornisce i codici delle colorazioni. A questo scopo è opportuno rivolgersi ad un buon carrozziere, che abbia in dotazione l'apposita strumentazione per l'identificazione del colore.
Quale è il carico massimo consentito per il mio veicolo? Per conoscere il carico massimo consentito, è sufficiente consultare il Libretto di Uso e Manutenzione in dotazione con il mezzo. Si precisa che il dato indicato si riferisce al peso totale del pilota, del passeggero, dei bagagli e degli accessori. Il carico massimo è indipendente dal peso della moto in ordine di marcia, dalla capacità del serbatoio, dalla quantità presente di benzina, olio, liquidi ecc. (Più semplicemente, per esempio, non va considerato nel conteggio dei chilogrammi caricati il peso della benzina presente). Si raccomanda di non superare mai il carico massimo previsto, in quanto quest'ultimo è determinato dal risultato di numerosi test effettuati da Yamaha in fase di progettazione, ai fini di garantire una guida in totale sicurezza anche a pieno carico. Si ricorda che, nel caso di moto a pieno carico, è opportuno regolare adeguatamente le sospensioni e la pressione dei pneumatici, facendo riferimento al Libretto Uso e Manutenzione o rivolgendosi ad un Concessionario ufficiale Yamaha.  
Come posso contattare il servizio clienti Yamaha?   Potete prendere contatto o chiamando il numero 848.580569 - al costo di una telefonata urbana - o tramite lettera da inviare al seguente indirizzo:
Per gli interventi in garanzia devo riportare il mio veicolo Yamaha dallo stesso concessionario presso il quale l'ho acquistato?    No. Ogni Concessionario Yamaha autorizzato all'assistenza può provvedere all riparazione in garanzia.
Non riesco a reperire un ricambio per la mia vecchia Yamaha. Cosa posso fare?   Chiedete al vostro Concessionario Yamaha di verificare la disponibilità del pezzo ed effettuare un eventuale ordine.
Come posso avere chiavi di riserva o duplicati per la mia Yamaha?   Rivolgetevi al vostro Concessionario ufficiale Yamaha.
Cosa devo fare prima di effettuare il rimessaggio della mia Yamaha? La fermata della vostra moto da 60 giorni in su deve osservare alcune procedure per evitarne il deterioramento. Effettuate ogni riparazione necessaria prima del rimessaggio. Svuotare il serbatoio di benzina e lasciare girare il motore fino a che non si spegne per svuotare il sistema di alimentazione. Rimuovete ogni candela e riempite i cilindri con un cucchiaio da tavola di olio motore. Rimontate le candele e fate girare il motore per un po' di volte al fine di coprire completamente il cilindro di olio.
Gli interventi di manutenzione ordinaria sono coperti dalla garanzia?   No, la manutenzione ordinaria non è coperta dalla garanzia. I costi dei tagliandi sono ad esclusivo carico del cliente.
Come devo comunicarvi il cambio di indirizzo?   E' importante che i nostri archivi siano sempre aggiornati con i Vostri dati più recenti. Potete comunicarci eventuali variazioni dei vostri dati tramite lettera al nostro indirizzo.
Dove sono punzonate le matricole del telaio e del motore?   I punti di punzonatura sono riportati nel libretto di uso e manutenzione di ogni veicolo.
Quando e dove devo fare la revisione del mio veicolo?   La prima revisione è obbligatoria dopo 4 anni dalla prima immatricolazione entro il mese di rilascio della carta di circolazione. Le successive revisione devono essere effettuate con con cadenza biennale entro il mese corrispondente a quello in cui è stata effettuata l’ultima revisione. Queste scadenze si applicano per motoveicoli e ciclomotori. La revisione può essere essere effettuata presso gli uffici della motorizzazione civile o presso i centri privati autorizzati. Non è consentita la circolazione dei veicoli non revisionati entro la scadenza se non per il solo giorno della revisione per recarsi presso il centro dove effettuare il controllo. Chi circola con un veicolo non revisionato è soggetto a sanzione amministrativa.
